,Artist Name,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,$NOT,0.713,0.47,-8.698,0.0864,0.606,1.35e-05,0.306,0.0825,84.518
1,4*TOWN (From Disney and Pixar’s Turning Red),0.7796666666666666,0.505,-10.134333333333332,0.08796666666666668,0.11436666666666666,2.3533333333333334e-06,0.1052,0.48666666666666664,111.71566666666666
2,5 Seconds of Summer,0.586375,0.65525,-4.56275,0.1262875,0.08751487499999999,4.3375e-07,0.143675,0.41050000000000003,131.616
3,AJ Mitchell,0.6253333333333333,0.527888888888889,-6.476222222222223,0.05602222222222222,0.3092888888888889,1.746666666666667e-06,0.08376666666666667,0.395,123.87611111111111
4,Adam Hicks,0.5700000000000001,0.8424545454545455,-3.8981818181818184,0.05824545454545455,0.04031281818181818,9.763636363636364e-07,0.07663636363636363,0.5777272727272726,140.24563636363635
5,Adrian Lyles,0.6166666666666667,0.45933333333333337,-6.692666666666667,0.07006666666666667,0.3807,0.0,0.09363333333333335,0.5206666666666667,86.14633333333335
6,Alan Walker,0.5823333333333333,0.7223333333333333,-5.267666666666667,0.05356666666666666,0.019791,6.24e-06,0.238,0.2321333333333333,137.60833333333332
7,Alec Benjamin,0.6513,0.6,-5.5586,0.055499999999999994,0.5157999999999999,0.00011533000000000001,0.20869999999999997,0.5999,126.94680000000001
8,Alessia Cara,0.47244444444444444,0.5677777777777778,-7.011666666666667,0.12584444444444445,0.32053333333333334,3.326666666666667e-05,0.11948888888888888,0.3561111111111111,125.31522222222222
9,Alesso,0.63,0.6699999999999999,-4.6114999999999995,0.0553,0.03055,0.000126,0.27349999999999997,0.39849999999999997,124.951
10,Alok,0.6323333333333333,0.8113333333333334,-4.726666666666667,0.0733,0.06653,2.430333333333333e-05,0.16656666666666667,0.5196666666666667,117.39
11,Andrew Garfield,0.51,0.6910000000000001,-5.724,0.14065,0.1108,0.0,0.058300000000000005,0.489,161.7575
12,Anne-Marie,0.6103333333333333,0.73,-4.449666666666666,0.12003333333333333,0.07441,0.0,0.16768333333333332,0.5398333333333333,94.30283333333334
13,Ariana Grande,0.6637777777777778,0.5781111111111111,-7.138111111111111,0.0799,0.2829111111111111,1.0827777777777779e-05,0.10792222222222222,0.39955555555555555,122.8288888888889
14,Ashe,0.5401818181818182,0.47918181818181815,-7.956363636363636,0.03397272727272727,0.41962272727272726,0.0011157245454545455,0.16967272727272728,0.3977272727272727,111.54472727272727
15,Ashley Tisdale,0.6411428571428571,0.7158571428571429,-4.7832857142857135,0.06168571428571429,0.17803714285714287,2.952857142857143e-06,0.1922857142857143,0.5,115.00728571428571
16,Ashton Irwin,0.48310000000000003,0.6212,-6.7974000000000006,0.04009,0.34859,0.097887563,0.21322000000000002,0.35845000000000005,119.4642
17,Austin Moon,0.6437999999999999,0.8711,-5.2204999999999995,0.09715,0.015917999999999998,1.878e-06,0.13435999999999998,0.7963,134.1637
18,BTS,0.645,0.862,-4.761,0.0845,0.0933,0.0,0.193,0.803,119.947
19,Bazzi,0.7079,0.6616000000000001,-5.2007,0.04482,0.27409,7.09e-07,0.16817,0.4833,126.502
20,Bea Miller,0.678375,0.652,-5.578,0.093,0.082295,3.230125e-05,0.30075,0.470125,129.020125
21,Beach Bunny,0.5081,0.8747999999999999,-4.974600000000001,0.04802,0.0030215000000000003,0.010022026,0.18045,0.6883,143.5661
22,Bebe Rexha,0.619,0.7805,-6.00125,0.047875,0.0791275,0.00096075,0.127975,0.38575,130.23025
23,Bella Thorne,0.761142857142857,0.5622857142857143,-7.164857142857143,0.07031428571428572,0.270737,0.036397825714285716,0.1578142857142857,0.5527142857142857,118.52985714285714
24,Ben Ward,0.394,0.624,-7.618,0.0425,0.412,1.13e-06,0.0942,0.338,79.57
25,Benji,0.667,0.408,-10.3,0.0415,0.463,0.0,0.125,0.392,110.073
