Artist ID,Artist Name,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,0.41879999999999995,0.5252,-8.2735,0.0385,0.42042,0.0606996,0.14087,0.23298999999999997,101.688
06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.5673999999999999,0.5215,-8.9289,0.08653000000000001,0.35233,0.00026769,0.12884,0.3417,131.4022
0C8ZW7ezQVs4URX5aX7Kqx,Kygo,0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968
0C8ZW7ezQVs4URX5aX7Kqx,Rema,0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,106.999
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,0.659625,0.599,-5.8618749999999995,0.0488125,0.13859125,8.01625e-06,0.1415,0.4397875,115.246125
0HthCchcL0kVLHTr113Vk1,BoyWithUke,0.717,0.7,-5.843,0.0382,0.189,0.0,0.374,0.568,103.517
0HthCchcL0kVLHTr113Vk1,Lyn Lapid,0.708,0.617,-8.743,0.0395,0.58,0.0961,0.0999,0.496,122.017
0HthCchcL0kVLHTr113Vk1,Noah Kahan,0.839,0.444,-6.386,0.226,0.475,2.58e-06,0.297,0.486,105.066
0HthCchcL0kVLHTr113Vk1,Peachy!,0.719,0.36,-12.034,0.398,0.748,2.18e-06,0.0812,0.409,80.184
0HthCchcL0kVLHTr113Vk1,Ricky Montgomery,0.589,0.605,-7.237,0.0273,0.0658,0.0,0.332,0.503,95.084
0HthCchcL0kVLHTr113Vk1,mxmtoon,0.5938,0.4824,-10.4756,0.12094,0.5494,0.00015872,0.1326,0.492,105.18220000000001
0K0YUvOFH3TVILvIPBfeYN,Joshua Bassett,0.6032,0.51,-6.388199999999999,0.0697,0.4774,7.54e-07,0.11639999999999999,0.38639999999999997,111.60920000000002
0K0YUvOFH3TVILvIPBfeYN,Julia Lester,0.761,0.733,-5.355,0.133,0.0546,0.0,0.115,0.77,77.511
0K0YUvOFH3TVILvIPBfeYN,Sofia Wylie,0.7535000000000001,0.53625,-7.0045,0.061674999999999994,0.395525,0.0,0.0902,0.4615,113.781
0NIPkIjTV8mB795yEIiPYL,Wallows,0.5947,0.7851,-5.2543,0.03787,0.047407500000000005,0.013017226000000002,0.24479,0.6616,127.5112
0ZED1XzwlLHW4ZaG4lOT6m,Clean Bandit,0.693,0.624,-7.482,0.0448,0.299,7.64e-06,0.0955,0.369,105.002
0ZED1XzwlLHW4ZaG4lOT6m,Dean Lewis,0.713,0.451,-4.693,0.0406,0.186,0.0,0.439,0.316,117.018
0ZED1XzwlLHW4ZaG4lOT6m,JP Saxe,0.429,0.486,-9.971,0.101,0.866,0.0,0.0982,0.661,146.99
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,0.558,0.433,-7.13625,0.04095,0.6055,0.0,0.082525,0.30225,139.14600000000002
0ZED1XzwlLHW4ZaG4lOT6m,Lauv,0.755,0.625,-7.114,0.0897,0.49,0.0,0.157,0.374,147.022
0ZED1XzwlLHW4ZaG4lOT6m,NF,0.564,0.373,-6.218,0.0408,0.515,0.0,0.0995,0.458,80.088
0ZED1XzwlLHW4ZaG4lOT6m,Noah Kahan,0.638,0.51,-6.485,0.305,0.344,0.0,0.212,0.448,114.576
0ZUvK7zGdXLd78mQr3t1Tw,Ricky Montgomery,0.5817777777777777,0.6433333333333333,-6.234,0.03233333333333333,0.18051111111111112,3.817777777777778e-05,0.17479999999999998,0.5085555555555555,143.01933333333332
0ZUvK7zGdXLd78mQr3t1Tw,The Honeysticks,0.522,0.458,-7.785,0.0275,0.17,0.00244,0.072,0.359,125.973
0e86yPdC41PGRkLp2Q1Bph,Mother Mother,0.5887,0.7194,-4.5563,0.07688,0.181079,0.003202017,0.19841999999999999,0.34619999999999995,120.1473
0jcl46xRBm9LKIwrKGQPE6,Meg Donnelly,0.63,0.7755,-6.475,0.0876,0.048315,0.005,0.0865,0.627,159.4955
0jcl46xRBm9LKIwrKGQPE6,Milo Manheim,0.706,0.714375,-6.225125,0.0514125,0.243494125,0.00081243625,0.1567625,0.57175,121.393
0uGk2czvcpWQA383Im6ajf,$NOT,0.713,0.47,-8.698,0.0864,0.606,1.35e-05,0.306,0.0825,84.518
0uGk2czvcpWQA383Im6ajf,Chase Atlantic,0.6054999999999999,0.725,-5.745,0.1125,0.04935,0.00010999999999999999,0.434,0.384,126.0255
0uGk2czvcpWQA383Im6ajf,Maggie Lindemann,0.5748333333333334,0.8396666666666667,-4.163666666666667,0.06896666666666666,0.091175,0.023668336666666668,0.17703333333333335,0.5575,140.466
0uGk2czvcpWQA383Im6ajf,Siiickbrain,0.583,0.759,-7.17,0.0524,0.196,0.0,0.209,0.487,119.077
0uqrdF1UCmMshSk6veOa5K,Dove Cameron,0.7364999999999999,0.7205,-5.3149999999999995,0.07185,0.02023,2.235e-05,0.14605,0.502,124.9855
0uqrdF1UCmMshSk6veOa5K,Sarah Jeffery,0.5696666666666667,0.663,-6.3465,0.16965,0.27846666666666664,2.7833333333333335e-07,0.18013333333333334,0.47733333333333333,110.01316666666666
163tK9Wjr9P9DmM0AVK7lm,Lorde,0.6533,0.5178,-8.4892,0.08405,0.283691,0.09051506499999999,0.14285,0.29374,105.47049999999999
188VINPQh5dyNfLUkevKqf,Jordan Fisher,0.764,0.256,-9.934,0.0392,0.741,0.0,0.262,0.565,114.062
188VINPQh5dyNfLUkevKqf,Martin Jensen,0.601,0.674,-5.638,0.125,0.0561,0.0,0.117,0.596,180.055
188VINPQh5dyNfLUkevKqf,Olivia Holt,0.7028571428571428,0.7714285714285715,-5.244857142857143,0.04851428571428572,0.08251714285714286,0.00011435714285714285,0.1441285714285714,0.49114285714285716,117.70985714285715
188VINPQh5dyNfLUkevKqf,Stevie Matthew,0.65,0.507,-6.428,0.0448,0.556,0.0,0.171,0.426,129.949
1Hsdzj7Dlq2I7tHP7501T4,Anne-Marie,0.572,0.759,-4.312,0.0506,0.127,0.0,0.224,0.519,80.95
1Hsdzj7Dlq2I7tHP7501T4,Ashe,0.579,0.37,-8.9,0.0383,0.496,0.0,0.221,0.216,119.799
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,0.579625,0.6085,-5.556125,0.0380375,0.235905,0.0,0.2025,0.4545,101.144125
1INuLZXjjVbcJRyWvD1iSq,Jack & Jack,0.74675,0.63725,-6.641,0.09065,0.2056625,1.2625e-06,0.16465,0.52425,113.245625
1INuLZXjjVbcJRyWvD1iSq,Jonas Blue,0.704,0.765,-4.48,0.08015,0.2385,0.0,0.2685,0.5980000000000001,115.56700000000001
1KYszkVzlhV3rAqmAcYIgd,Victorious Cast,0.6119,0.8943,-3.2033,0.08492999999999999,0.054639499999999994,1.73e-06,0.151,0.5809,129.4024
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,0.49400000000000005,0.5700000000000001,-6.560599999999999,0.09033,0.421657,3.5139999999999997e-06,0.22057000000000002,0.39079,141.4261
1Xylc3o4UrD53lo9CvFvVg,Alesso,0.739,0.586,-5.079,0.0472,0.0245,0.000252,0.308,0.444,124.026
1Xylc3o4UrD53lo9CvFvVg,Clean Bandit,0.715,0.605,-5.128,0.0428,0.239,1.41e-05,0.189,0.454,122.956
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,0.618875,0.739125,-4.540875,0.0616625,0.1460375,0.00045154625,0.15195,0.48350000000000004,129.897875
1YWJ1WjMkBCB1X3QOJ1Wdn,Cast of High School Musical: The Musical: The Series,0.5984,0.7028000000000001,-6.302,0.0921,0.190658,6.650000000000001e-06,0.13016,0.5557000000000001,136.0543
1eBGyqw9kLsidL0q2dimWF,Austin Moon,0.6437999999999999,0.8711,-5.2204999999999995,0.09715,0.015917999999999998,1.878e-06,0.13435999999999998,0.7963,134.1637
1l8Fu6IkuTP0U5QetQJ5Xt,Boyce Avenue,0.545,0.658,-7.174,0.0474,0.496,0.0,0.105,0.683,76.971
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,0.7162222222222222,0.7861111111111111,-4.384111111111111,0.07202222222222222,0.04193444444444445,0.00013435555555555554,0.14115555555555556,0.6074444444444445,113.90355555555556
1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,0.678375,0.652,-5.578,0.093,0.082295,3.230125e-05,0.30075,0.470125,129.020125
1o2NpYGqHiCq7FoiYdyd1x,Boyce Avenue,0.705,0.347,-8.249,0.0301,0.674,0.0,0.12,0.36,80.057
1o2NpYGqHiCq7FoiYdyd1x,NOTD,0.661,0.725,-4.859,0.0563,0.0253,0.0,0.123,0.605,119.927
1r1uxoy19fzMxunt3ONAkG,Manchester Orchestra,0.299,0.399,-12.176,0.0376,0.816,0.00117,0.147,0.302,158.253
1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,0.4438888888888889,0.4008888888888889,-10.561555555555556,0.03628888888888889,0.6530777777777778,0.05314755555555555,0.11692222222222222,0.3368888888888889,135.41688888888888
1uNFoZAHBGtllmzznpCI3s,Billie Eilish,0.67,0.453,-11.265,0.295,0.256,0.327,0.117,0.685,135.047
