Artist ID,Track Name,Popularity
6JL8zeS1NmiOftqZTRgdTz,All About That Bass,75
6JL8zeS1NmiOftqZTRgdTz,Dear Future Husband,76
6JL8zeS1NmiOftqZTRgdTz,NO,75
6JL8zeS1NmiOftqZTRgdTz,Better When I'm Dancin',74
6JL8zeS1NmiOftqZTRgdTz,Me Too,73
6JL8zeS1NmiOftqZTRgdTz,To The Moon,72
6JL8zeS1NmiOftqZTRgdTz,Lips Are Movin,70
74KM79TiuVKeVCqs8QtB0B,Espresso,99
74KM79TiuVKeVCqs8QtB0B,Feather,90
74KM79TiuVKeVCqs8QtB0B,Nonsense,89
74KM79TiuVKeVCqs8QtB0B,because i liked a boy,79
74KM79TiuVKeVCqs8QtB0B,Looking at Me,78
74KM79TiuVKeVCqs8QtB0B,On My Way,69
74KM79TiuVKeVCqs8QtB0B,Read your Mind,74
74KM79TiuVKeVCqs8QtB0B,You Need Me Now? (feat. Sabrina Carpenter),68
74KM79TiuVKeVCqs8QtB0B,emails i can’t send,72
74KM79TiuVKeVCqs8QtB0B,Vicious,71
4Rxn7Im3LGfyRkY2FlHhWi,Jealous - Remix,68
4Rxn7Im3LGfyRkY2FlHhWi,Close,67
4Rxn7Im3LGfyRkY2FlHhWi,"Introducing Me - From ""Camp Rock 2: The Final Jam""",63
4Rxn7Im3LGfyRkY2FlHhWi,Chains,57
4Rxn7Im3LGfyRkY2FlHhWi,Maan Meri Jaan (Afterlife),58
4Rxn7Im3LGfyRkY2FlHhWi,Right Now,57
4Rxn7Im3LGfyRkY2FlHhWi,This Is Heaven,54
4Rxn7Im3LGfyRkY2FlHhWi,Find You,53
4Rxn7Im3LGfyRkY2FlHhWi,Levels,54
4Rxn7Im3LGfyRkY2FlHhWi,"This is Our Song - From ""Camp Rock 2: The Final Jam""",51
0uGk2czvcpWQA383Im6ajf,OHMAMI - With Maggie Lindemann,37
0uGk2czvcpWQA383Im6ajf,Pretty Girl - Cheat Codes X CADE Remix,67
0uGk2czvcpWQA383Im6ajf,Moon & Stars (feat. Maggie Lindemann),62
0uGk2czvcpWQA383Im6ajf,Pretty Girl,61
0uGk2czvcpWQA383Im6ajf,OHMAMI - With Maggie Lindemann,54
0uGk2czvcpWQA383Im6ajf,she knows it,57
0uGk2czvcpWQA383Im6ajf,hostage,55
0uGk2czvcpWQA383Im6ajf,Knife Under My Pillow,53
0uGk2czvcpWQA383Im6ajf,taking over me,53
0uGk2czvcpWQA383Im6ajf,Crash and Burn,52
1l8Fu6IkuTP0U5QetQJ5Xt,Work from Home (feat. Ty Dolla $ign),78
1l8Fu6IkuTP0U5QetQJ5Xt,Worth It (feat. Kid Ink),74
1l8Fu6IkuTP0U5QetQJ5Xt,That's My Girl,73
1l8Fu6IkuTP0U5QetQJ5Xt,All In My Head (Flex) (feat. Fetty Wap),64
1l8Fu6IkuTP0U5QetQJ5Xt,I'm In Love With a Monster,63
1l8Fu6IkuTP0U5QetQJ5Xt,Sledgehammer,61
1l8Fu6IkuTP0U5QetQJ5Xt,BO$$,59
1l8Fu6IkuTP0U5QetQJ5Xt,Miss Movin' On,56
1l8Fu6IkuTP0U5QetQJ5Xt,Worth It,57
1l8Fu6IkuTP0U5QetQJ5Xt,Down (feat. Gucci Mane),53
6U1dBXJhC8gXFjamvFTmHg,Rewrite The Stars,73
6U1dBXJhC8gXFjamvFTmHg,The Greatest Show,61
6U1dBXJhC8gXFjamvFTmHg,The Other Side,72
6U1dBXJhC8gXFjamvFTmHg,Gotta Go My Own Way,65
6U1dBXJhC8gXFjamvFTmHg,Can I Have This Dance,64
6U1dBXJhC8gXFjamvFTmHg,You Can't Stop The Beat,59
6U1dBXJhC8gXFjamvFTmHg,Just Wanna Be With You,59
6U1dBXJhC8gXFjamvFTmHg,What Time Is It,57
6U1dBXJhC8gXFjamvFTmHg,Scream,58
6U1dBXJhC8gXFjamvFTmHg,"Right Here, Right Now",58
7gAppWoH7pcYmphCVTXkzs,Somebody To You,55
7gAppWoH7pcYmphCVTXkzs,All Night,70
7gAppWoH7pcYmphCVTXkzs,Can We Dance,52
7gAppWoH7pcYmphCVTXkzs,Just My Type,55
7gAppWoH7pcYmphCVTXkzs,Somebody To You,57
7gAppWoH7pcYmphCVTXkzs,Last Night,48
7gAppWoH7pcYmphCVTXkzs,Oh Cecilia (Breaking My Heart),44
7gAppWoH7pcYmphCVTXkzs,All The Lies (with Felix Jaehn & The Vamps),47
7gAppWoH7pcYmphCVTXkzs,Wild Heart,43
7gAppWoH7pcYmphCVTXkzs,I Found A Girl,44
6P5NO5hzJbuOqSdyPB7SJM,Moral of the Story,78
6P5NO5hzJbuOqSdyPB7SJM,Till Forever Falls Apart,74
6P5NO5hzJbuOqSdyPB7SJM,Moral of the Story (feat. Niall Horan) - Bonus Track,69
6P5NO5hzJbuOqSdyPB7SJM,Love Is Letting Go (feat. Diane Keaton),57
6P5NO5hzJbuOqSdyPB7SJM,Missing You (with Ashe),55
6P5NO5hzJbuOqSdyPB7SJM,Another Man's Jeans,53
6P5NO5hzJbuOqSdyPB7SJM,Save Myself,51
6P5NO5hzJbuOqSdyPB7SJM,Hope You're Not Happy,50
6P5NO5hzJbuOqSdyPB7SJM,Angry Woman,46
6P5NO5hzJbuOqSdyPB7SJM,Fun While It Lasted,48
5CCwRZC6euC8Odo6y9X8jr,Praising You (feat. Fatboy Slim),71
5CCwRZC6euC8Odo6y9X8jr,For You (With Rita Ora),66
5CCwRZC6euC8Odo6y9X8jr,Ritual,63
5CCwRZC6euC8Odo6y9X8jr,Let You Love Me,65
5CCwRZC6euC8Odo6y9X8jr,Your Song,62
5CCwRZC6euC8Odo6y9X8jr,Drinkin',66
5CCwRZC6euC8Odo6y9X8jr,You Only Love Me,66
5CCwRZC6euC8Odo6y9X8jr,I'll Be There,65
5CCwRZC6euC8Odo6y9X8jr,LAST OF US (feat. Rita Ora),64
5CCwRZC6euC8Odo6y9X8jr,Anywhere,57
2wUjUUtkb5lvLKcGKsKqsR,Scars To Your Beautiful,78
2wUjUUtkb5lvLKcGKsKqsR,Stay,76
2wUjUUtkb5lvLKcGKsKqsR,Here,70
2wUjUUtkb5lvLKcGKsKqsR,How Far I'll Go - Alessia Cara Version,64
2wUjUUtkb5lvLKcGKsKqsR,Out Of Love,67
2wUjUUtkb5lvLKcGKsKqsR,Wild Things,64
2wUjUUtkb5lvLKcGKsKqsR,I'm Like A Bird - Recorded at Spotify Studios NYC,60
2wUjUUtkb5lvLKcGKsKqsR,"I Choose - From The Netflix Original Film ""The Willoughbys""",58
2wUjUUtkb5lvLKcGKsKqsR,River Of Tears,58
2wUjUUtkb5lvLKcGKsKqsR,You Let Me Down,55
542yUd4rGzUEOLd1diV94f,Get Off My Phone,60
542yUd4rGzUEOLd1diV94f,Malibu,54
542yUd4rGzUEOLd1diV94f,Heaven Angel,54
542yUd4rGzUEOLd1diV94f,Keep Moving Forward (feat. Nikka Costa),39
542yUd4rGzUEOLd1diV94f,Leave Me Feeling Confident,43
542yUd4rGzUEOLd1diV94f,#1 Fan,42
542yUd4rGzUEOLd1diV94f,Summertime Baby - Live,40
542yUd4rGzUEOLd1diV94f,OMG Plz Don't Come Around / Like a King - Live,37
542yUd4rGzUEOLd1diV94f,A Kiss - Live,28
542yUd4rGzUEOLd1diV94f,Fantasy - Live,31
4AK6F7OLvEQ5QYCBNiQWHq,Night Changes,88
4AK6F7OLvEQ5QYCBNiQWHq,What Makes You Beautiful,86
4AK6F7OLvEQ5QYCBNiQWHq,Story of My Life,84
4AK6F7OLvEQ5QYCBNiQWHq,Drag Me Down,81
4AK6F7OLvEQ5QYCBNiQWHq,Steal My Girl,80
4AK6F7OLvEQ5QYCBNiQWHq,Perfect,79
4AK6F7OLvEQ5QYCBNiQWHq,Right Now,78
4AK6F7OLvEQ5QYCBNiQWHq,18,78
4AK6F7OLvEQ5QYCBNiQWHq,You & I,76
4AK6F7OLvEQ5QYCBNiQWHq,Best Song Ever,76
5pUo3fmmHT8bhCyHE52hA6,Strip That Down (feat. Quavo),69
5pUo3fmmHT8bhCyHE52hA6,For You (With Rita Ora),66
5pUo3fmmHT8bhCyHE52hA6,Polaroid,62
5pUo3fmmHT8bhCyHE52hA6,Teardrops,60
5pUo3fmmHT8bhCyHE52hA6,Familiar (With J. Balvin),53
5pUo3fmmHT8bhCyHE52hA6,Get Low (with Liam Payne),55
5pUo3fmmHT8bhCyHE52hA6,Stack It Up (feat. A Boogie Wit da Hoodie),47
5pUo3fmmHT8bhCyHE52hA6,Bedroom Floor,50
5pUo3fmmHT8bhCyHE52hA6,Sunshine - From the Motion Picture “Ron’s Gone Wrong”,49
5pUo3fmmHT8bhCyHE52hA6,Strip That Down - Acoustic,49
3gIRvgZssIb9aiirIg0nI3,comethru,75
3gIRvgZssIb9aiirIg0nI3,you were good to me,72
3gIRvgZssIb9aiirIg0nI3,this is how you fall in love,70
3gIRvgZssIb9aiirIg0nI3,all the kids are depressed,69
3gIRvgZssIb9aiirIg0nI3,"always, i'll care",67
3gIRvgZssIb9aiirIg0nI3,better off,60
3gIRvgZssIb9aiirIg0nI3,talk is overrated,58
3gIRvgZssIb9aiirIg0nI3,scared,57
3gIRvgZssIb9aiirIg0nI3,that way - with Jeremy Zucker,56
3gIRvgZssIb9aiirIg0nI3,comethru (with Bea Miller),56
6dn6x1XOng3LOAnfTjUn77,Like Strangers Do,62
6dn6x1XOng3LOAnfTjUn77,Slow Dance (feat. Ava Max),52
6dn6x1XOng3LOAnfTjUn77,Used to Be,51
6dn6x1XOng3LOAnfTjUn77,Slow Dance (feat. Ava Max) - Sam Feldt Remix,54
6dn6x1XOng3LOAnfTjUn77,Hate You + Love You,42
6dn6x1XOng3LOAnfTjUn77,I Don't Want You Back,53
6dn6x1XOng3LOAnfTjUn77,All My Friends,49
6dn6x1XOng3LOAnfTjUn77,Flowers on the Moon,49
6dn6x1XOng3LOAnfTjUn77,Lovers On The Moon,49
6dn6x1XOng3LOAnfTjUn77,Foolish,36
6VuMaDnrHyPL1p4EHjYLi7,We Don't Talk Anymore (feat. Selena Gomez),69
6VuMaDnrHyPL1p4EHjYLi7,See You Again (feat. Charlie Puth),83
6VuMaDnrHyPL1p4EHjYLi7,Attention,82
6VuMaDnrHyPL1p4EHjYLi7,Left and Right (Feat. Jung Kook of BTS),78
6VuMaDnrHyPL1p4EHjYLi7,Lose My Breath (Feat. Charlie Puth),79
6VuMaDnrHyPL1p4EHjYLi7,One Call Away,65
6VuMaDnrHyPL1p4EHjYLi7,Light Switch,74
6VuMaDnrHyPL1p4EHjYLi7,Marvin Gaye (feat. Meghan Trainor),58
6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,74
6VuMaDnrHyPL1p4EHjYLi7,Dangerously,57
5ZsFI1h6hIdQRw2ti0hz81,Dusk Till Dawn (feat. Sia) - Radio Edit,81
5ZsFI1h6hIdQRw2ti0hz81,I Don’t Wanna Live Forever (Fifty Shades Darker),81
5ZsFI1h6hIdQRw2ti0hz81,PILLOWTALK,78
5ZsFI1h6hIdQRw2ti0hz81,Trampoline (with ZAYN),67
5ZsFI1h6hIdQRw2ti0hz81,Alienated,71
5ZsFI1h6hIdQRw2ti0hz81,What I Am,70
5ZsFI1h6hIdQRw2ti0hz81,"A Whole New World (End Title) - From ""Aladdin""",62
5ZsFI1h6hIdQRw2ti0hz81,Let Me,65
5ZsFI1h6hIdQRw2ti0hz81,Love Like This,65
5ZsFI1h6hIdQRw2ti0hz81,Sweat,63
2Zi3RrdQqk63Xj0914STkS,Speechless (Full),69
2Zi3RrdQqk63Xj0914STkS,She's So Gone,66
2Zi3RrdQqk63Xj0914STkS,"Determinate - From ""Lemonade Mouth""",64
2Zi3RrdQqk63Xj0914STkS,A Whole New World,63
2Zi3RrdQqk63Xj0914STkS,Turn Up the Music,56
2Zi3RrdQqk63Xj0914STkS,Breakthrough,55
2Zi3RrdQqk63Xj0914STkS,More Than a Band,54
2Zi3RrdQqk63Xj0914STkS,Speechless (Part 1),49
2Zi3RrdQqk63Xj0914STkS,Speechless (Part 2),49
2Zi3RrdQqk63Xj0914STkS,Livin' On a High Wire,46
4UFShyUQuA8dguoZrqX0jQ,Shakes,58
4UFShyUQuA8dguoZrqX0jQ,Close My Eyes,59
4UFShyUQuA8dguoZrqX0jQ,Benny,62
4UFShyUQuA8dguoZrqX0jQ,I'm Still Your Boy,59
4UFShyUQuA8dguoZrqX0jQ,Garden Life,59
4UFShyUQuA8dguoZrqX0jQ,Close Enough To Feel You,57
4UFShyUQuA8dguoZrqX0jQ,Promises,57
4UFShyUQuA8dguoZrqX0jQ,Baby Blue,57
4UFShyUQuA8dguoZrqX0jQ,Saigon,55
4UFShyUQuA8dguoZrqX0jQ,Starting Line,54
4JNfz6aO9ZFz0gp5GY88am,Guys My Age,58
4JNfz6aO9ZFz0gp5GY88am,Hoodie,57
4JNfz6aO9ZFz0gp5GY88am,O.D.D.,53
4JNfz6aO9ZFz0gp5GY88am,Unholy,48
4JNfz6aO9ZFz0gp5GY88am,Better By Myself,48
4JNfz6aO9ZFz0gp5GY88am,Like Lovers Do,47
4JNfz6aO9ZFz0gp5GY88am,Queen Of The Night,42
4JNfz6aO9ZFz0gp5GY88am,Imaginary Friends,40
4JNfz6aO9ZFz0gp5GY88am,Best Imposter,42
4JNfz6aO9ZFz0gp5GY88am,Fuqboi,40
1W7FNibLa0O0b572tB2w7t,At My Worst,71
1W7FNibLa0O0b572tB2w7t,Honesty,69
1W7FNibLa0O0b572tB2w7t,At My Worst (feat. Kehlani),58
1W7FNibLa0O0b572tB2w7t,lavender (feat. Pink Sweat$),63
1W7FNibLa0O0b572tB2w7t,Run Through Fire,62
1W7FNibLa0O0b572tB2w7t,17,56
1W7FNibLa0O0b572tB2w7t,I Feel Good,60
1W7FNibLa0O0b572tB2w7t,Hundred Million Reasons,56
1W7FNibLa0O0b572tB2w7t,Nothing Feels Better,51
1W7FNibLa0O0b572tB2w7t,17 (feat. Joshua and DK of SEVENTEEN),55
6oW9KRAZbC1xOlmg2RRyFL,"The Great Divide (from ""Secret of the Wings"")",45
6oW9KRAZbC1xOlmg2RRyFL,Go,41
6oW9KRAZbC1xOlmg2RRyFL,Sharp as a Razor,18
6oW9KRAZbC1xOlmg2RRyFL,Electronic Apology,20
6oW9KRAZbC1xOlmg2RRyFL,Perfect Mistake,16
6oW9KRAZbC1xOlmg2RRyFL,Jingle Bell Rock,10
28y6CyJNkGNjJQKrlx4AmN,Personal,65
28y6CyJNkGNjJQKrlx4AmN,All Or Nothing,64
28y6CyJNkGNjJQKrlx4AmN,Good Vibes,59
28y6CyJNkGNjJQKrlx4AmN,Don’t Need Your Love,55
28y6CyJNkGNjJQKrlx4AmN,Million Ways,53
28y6CyJNkGNjJQKrlx4AmN,Told You So,52
28y6CyJNkGNjJQKrlx4AmN,Be Okay (with HRVY),39
28y6CyJNkGNjJQKrlx4AmN,1 Day 2 Nights,50
28y6CyJNkGNjJQKrlx4AmN,Younger,49
28y6CyJNkGNjJQKrlx4AmN,I Miss Myself (with HRVY),48
1eBGyqw9kLsidL0q2dimWF,"Cruisin' for a Bruisin' - From ""Teen Beach Movie""/Soundtrack Version",34
1eBGyqw9kLsidL0q2dimWF,"Gotta Be Me - From ""Teen Beach 2""/Soundtrack Version",29
1eBGyqw9kLsidL0q2dimWF,Steal Your Heart,53
1eBGyqw9kLsidL0q2dimWF,Not A Love Song,49
1eBGyqw9kLsidL0q2dimWF,Illusion,49
1eBGyqw9kLsidL0q2dimWF,I Think About You,51
1eBGyqw9kLsidL0q2dimWF,Can’t Do It Without You (Austin & Ally Main Title),47
1eBGyqw9kLsidL0q2dimWF,Double Take,46
1eBGyqw9kLsidL0q2dimWF,A Billion Hits,46
1eBGyqw9kLsidL0q2dimWF,Heard It On The Radio,45
06HL4z0CvFAxyc27GXpf02,Fortnight (feat. Post Malone),96
06HL4z0CvFAxyc27GXpf02,I Can Do It With a Broken Heart,90
06HL4z0CvFAxyc27GXpf02,Down Bad,88
06HL4z0CvFAxyc27GXpf02,Cruel Summer,94
06HL4z0CvFAxyc27GXpf02,"So Long, London",85
06HL4z0CvFAxyc27GXpf02,My Boy Only Breaks His Favorite Toys,85
06HL4z0CvFAxyc27GXpf02,Who’s Afraid of Little Old Me?,84
06HL4z0CvFAxyc27GXpf02,The Tortured Poets Department,85
06HL4z0CvFAxyc27GXpf02,Guilty as Sin?,84
06HL4z0CvFAxyc27GXpf02,But Daddy I Love Him,84
6LuN9FCkKOj5PcnpouEgny,lovely (with Khalid),88
6LuN9FCkKOj5PcnpouEgny,Silence,83
6LuN9FCkKOj5PcnpouEgny,Eastside (with Halsey & Khalid),79
6LuN9FCkKOj5PcnpouEgny,Young Dumb & Broke,82
6LuN9FCkKOj5PcnpouEgny,Better,77
6LuN9FCkKOj5PcnpouEgny,Please Don't Fall In Love With Me,79
